ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	TWN_CHI	Indonesian	PER	HEB
MMI-1044	음성 안내	Voice Guidance	Guía voz	Guide vocal	Instruções por voz	语音提示	音声案内	Voice guidance	Voice guidance	Sprachanweisungen	Instructions vocales	Comandi vocali	Guía por voz	Orientação por voz		Spraakaanwijzingen	Stemmevejledning	Röstvägledning	Taleveiledning	Polecenia głosowe	Hlasové pokyny	Hlasové navádzanie	Голосовые подсказки						Puheopastus	Hangos útmutatás	Sesli yönlendirme	الإرشاد الصوتي												Panduan Suara	راهنمای صوتی	הכוונה קולית
MMI-1045	목적지 설정	Set as Destination	Establecer como destino	Définir comme destination	Definir como destino	设为目的地	目的地に設定	Set as destination	Set as destination	Als Ziel festlegen	Déf. destinat.	Imposta come destinazione	Establecer como destino	Definir como destino		Instellen als bestemming	Angiv som destination	Ange som destination	Angi som destinasjon	Ustaw punkt docelowy	Nastavit jako cíl	Nastaviť ako cieľ	Установить как цель						Aseta määränpääksi	Beállítás úti célként	Varış yeri olarak belirle	التعيين گوجهة												Atur sebagai Destinasi.	ضبط كوجهة	N/A(KO/CH/NA Only)
MMI-1046	시작	Start	Iniciar	Commencer	Iniciar	开始	スタート	Start	Start	N_/_A	Commencer	N_/_A	N_/_A	N_/_A		N_/_A	N_/_A	N_/_A	N_/_A	N_/_A	N_/_A	N_/_A	N_/_A						N_/_A	N_/_A	N_/_A	المباشرة												Mulai	N_/_A	N_/_A
MMI-1047	화면 끄기	Display Off	Apagar pant.	Affichage Off	Desligar tela	画面关闭	画面オフ	Display Off	Display Off	Schirm Aus	Écran éteint	Schermo off	Desactivar pantalla	Ecrã desligado		Scherm uit	Billedskærm Fra	Bildskärm av	Skjerm av	Ekran wyłączony	Vyp. displej	Displej vyp	Откл. Экран						Näyttö pois päältä	Képernyő ki	Ekranı kapat	إطفاء الشاشة												Layar Mati	نمایشگر خاموش	תצוגה מופסקת
MMI-1048	주변 검색	All POI Categories	<N/A>	<N/A>	<N/A>	<N/A>	N/A	<N/A>	All POI categories		Type du POI																					اكل فئات نقاط الإهتمام												N/A	گروه مکان	
MMI-1049	구간 거리	Interval Distance	Distancia de intervalos	Distance d’intervalle	Distância de intervalo	<N/A>	地点間距離	<N/A>	Interval distance	<N/A>	Distance jusqu'à la prochaine section	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	المسافة الفاصلة												N/A	مسافت بخش	<N/A>
MMI-1050	합산 거리	Cumulative Distance	Distancia acumulada	Distance cumulative	Distância cumulativa		合算距離		Cumulative distance		Distance cumulée																					المسافة التراكميه												N/A	مسافت کل	
MMI-1051	USB에서 등록 위치/최근 목적지 가져오기	Import Address Book/Previous Destinations from USB	Importar libreta de direcciones/destinos previos del USB	Importer le carnet d'adresses/les destinations précédentes de la clé USB	Importar catálogo de endereços/destinos anteriores a partir do USB	从 USB 中导入标注点	USBからメモリ地点、最近の目的地をインポート	Import address book/previous destinations from USB	Import address book/previous destinations from USB	Adressbuch von USB importieren	Importer depuis l'USB : répertoire/destinations	Importa rubrica da USB	Importar agenda del USB	Importar livro de endereços de USB		Adresboek importeren via USB	Importer adressebog fra USB	Importera adressbok från USB	Importer adressebok fra USB	Importuj książkę adresową z USB	Importovat adresář ze zařízení USB	Importovať adresár z USB	Импорт адресной книги с USB						Tuo osoitekirja USB:stä	Címlista importálása az USB-ről	Adres defterini USB'den aktar	استيراد دليل العناوين / الوجهات السابقة من جهاز USB												N/A	<N/A>	ייבוא פנקס הכתובות מה- USB
MMI-1052	USB로 등록 위치/최근 목적지 내보내기	Export Address Book/Previous Destinations to USB	Exportar libreta de direcciones/destinos previos del USB	Exporter le carnet d'adresses/les destinations précédentes sur la clé USB	Exportar catálogo de endereços/destinos anteriores para o USB	将标注点导出至 USB	USBからメモリ地点、最近の目的地をエクスポート	Export address book to USB	Export address book/previous destinations to USB	Adressbuch auf USB exportieren	Importer depuis l'USB : ré ertoire/destinations	Esporta rubrica su USB	Exportar agenda al USB	Exportar livro de endereços para USB		Adresboek exporteren via USB	Eksporter adressebog til USB	Exportera adressbok till USB	Eksporter adressebok til USB	Eksportuj książkę adresową na USB	Exportovat adresář do zařízení USB	Exportovať adresár do USB	Экспорт адресной книги на USB						Vie osoitekirja USB:hen	Címlista exportálása USB-re	Adres defterini USB'ye aktar	تصدير دليل العناوين / الوجهات السابقة إلى جهاز USB												N/A	<N/A>	יצוא פנקס הכתובות ל- USB
MMI-1053	현위치 방송 목록	Station List	Lista de estaciones	Liste de station	Lista de estações	电台列表	放送局リスト	Station list	Station list	Senderliste	Liste des stations	Elenco stazioni	Lista de emisoras	Lista estações		Stationlijst	Liste over stationer	Stationslista	Stasjonliste	Lista stacji	Seznam stanic	Zoznam staníc	Список станций						Asemaluettelo	Állomáslista	İstasyon listesi	قائمة المحطات												Dftr Stasiun	لیست ایستگاه	רשימת תחנות
MMI-1054	파일 정보	File Information	Información de archivo	Info. fichier	Informação de arquivo	文件信息	ファイル情報	File information	File information	Dateiinformationen	Info fichier	Informazioni file	Inf. de archivo	Informações sobre o ficheiro		Bestandsinformatie	Filinformation	Filinformation	Filinformasjon	Informacje o pliku	Informace o souboru	Info o súbore	Сведения о файле						Tiedoston tiedot	Fájlinformáció	Dosya bilgisi	معلومات الملف												Info	اطلاعات فایل	(To be translated)
MMI-1055	기본 음향	Sound Tuning	Ajustes finos	Ajustements fins	Ajustes finos	声音调谐	音響制御	Sound tuning	Sound tuning	Audiotuning	Réglage audio	Sintonizza audio	Ajuste de audio	Sinton. de áudio		Audio tune	Lydtone	Ljudinställning	Lydinnstilling	Dostr. dźwięku	Vyladění zvuku	Ladenie zvuku	Аудионастр-ка						Äänen säätö	Hangolás	Ses ayarı	توليف الصوت												Penyetelan Suara	تنظیم صدا	כוונון שמע
MMI-1056	유틸리티 모드	Utility Mode	Modo utilidad	Mode utilitaire	Modo utilitário		ユーティリティモード		Utility mode		Mode utilitaire																					وضع استخدام الطاقة خلال الركن												Mode Utilitas		
MMI-1057	유틸리티 모드 활성화	Activate Utility Mode							Activate Utility Mode		Activer le mode utilitaire																					تفعيل وضع استخدام الطاقة خلال الركن												N/A		
MMI-1058	VOL/TUNE 노브	VOL/TUNE Knob	Perillas VOL/TUNE	Touche VOL/TUNE	Botão VOL/TUNE	VOL/TUNE 旋钮	VOL/TUNE ノブ	VOL/TUNE Knob	VOL/TUNE Knob	VOL/TUNE-Regler	Bouton VOL/TUNE	Manopola VOL/TUNE	Dial de VOL/TUNE	Botão VOL/TUNE		VOL/TUNE-knop	VOL/TUNE-knap	VOL/TUNE-reglage	VOL/TUNE-knapp	Pokrętło VOL/TUNE	Knoflíky VOL/TUNE	Otočný gombík VOL/TUNE	Регулятор VOL/TUNE	Регулятор VOL/TUNE	Vrtljiv gumb VOL/TUNE			Κουμπί VOL/TUNE	VOL/TUNE-säädin	VOL/TUNE gomb	VOL/TUNE Düğmesi	مقبض VOL/TUNE												Kenop VOL/TUNE	(To be translated)	
MMI-1059	저음/중음/고음																																											N/A		
MMI-1060	라디오 음질	Radio Noise	Ruido de radio	Réduction du bruit radio	Ruido de rádio	收音机噪声	ラジオの音質	Radio noise control	Radio noise control	Rauschunter-drückung	Contrôle bruit radio	Controllo fruscio radio FM	Control de ruido en radio	Red. de ruído rádio FM		Ruisonder-drukking	Støjkontrol	Brusreglering FM	Støykontroll radio	Redukcja szumów	Filtrování šumu z rádia	Regulácia šumu	Уровень шума FM-радио						Kohinan-vaimennus	Zajelnyomás	Gürültü azaltımı	الحدّ من التشويش												Derau Radio	کنترل نویز رادیو	בקרת רעש רדיו
MMI-1061	화면 끄기	Display Off	Apagar pant.	Affichage Off	Desligar tela	画面关闭	画面オフ	Display Off	Display off	Schirm Aus	Affichage désactivé	Schermo off	Desactivar pantalla	Ecrã desligado		Scherm uit	Billedskærm Fra	Bildskärm av	Skjerm av	Ekran wyłączony	Vyp. displej	Displej vyp	Откл. Экран						Näyttö pois päältä	Képernyő ki	Ekranı kapat	إيقاف العرض												Layar Mati	نمایشگر خاموش	תצוגה מופסקת
MMI-1062	자연의 소리	Sounds of Nature	Sonidos de la naturaleza	Sons de la nature 	Sons da natureza	大自然的声音	自然の音	Sounds of nature	Sounds of nature	Naturgeräusche	Sons de la nature	Suoni della natura	Sonidos de la naturaleza	Sons da natureza		Natuurgeluiden	Naturlyde	Naturljud	Naturlyder	Odgłosy natury	Zvuky přírody	Zvuky prírody	Звуки природы						Luonnon ääniä	Természethangok	Doğa sesleri	أنغام الطبيعة												Sounds of Nature	صدای طبیعت	צלילים מהטבע
MMI-1063	초기값	Center	Centrar	Centre	Centralizar	初始化	初期値	Centre	Centre	Zentrieren	Centrer	Accentra	Centro	Centrar		Centreren	Centrer	Centrera	Midten	Wyśrodkuj	Uprostřed	Vycentrovať	По центру						Keskitä	Középen	Merkez	الوسط												Atur ulang	مرکز	מרכז
MMI-1064	EV charging stations	EV charging stations	Estaciones de recarga EV	Stations de recharge EV					EV charging stations		Stations de charge																					محطات شحن												N/A		
MMI-1065	정보	Info	Información	Info	Informação	信息	情報	Info	Info	Info	Infos	Info	Info	Info		Info	Info	Info	Info	Info	Info	Info.	Инфо						N/A(NA only)	Infó	Bilgi	المعلومات												Informasi	اطلاعات	מידע
MMI-1066	운전석 공조 연동 자동 제어	Auto. Controls That Use Climate Control Settings	Controles automáticos con ajustes de control de climatización	Commandes automatiques qui utilisent les paramètres de commande de la climatisation	Controles autom. que usam as configurações do controle de climatização.	使用空调温度控制设置的自动控件	運転席空調連動自動制御	Auto. Controls That Use Climate Control Settings	Auto. Controls That Use Climate Control Settings	Aut. Steuerungen basierend auf Klima.einst.	Commandes auto. utilisant des param. de clim.	Controlli autom. che usano le imp. climatizzatore	Controles auto que usan ajustes control climat.	Controlos automáticos que utilizam as definições de climatização		Autom. functies die airco-instellingen gebruiken	Automatiske indstillinger der benytter klimakontrolindstillingerne	Aut. reglering baserad på på klimatinställningarna	Auto. kontroller som bruker klimakontrollinnstillinger	Automatyczne elementy sterowania korzystające z ustawień klimatyzacji	Auto. ovládání využívající nastavení klimatizace	Autom. ovl., ktoré používa nast. klimatizácie	Автофункции по настройкам климат-контроля						Ilmastointiasetuksia käyttävät autom. säätimet	A klímavezérlés beállításait alkalmazó automatikus kezelőszervek	Klima Kontrol Ayarlarını Kullanan Oto Kontroller	مفاتيح التحكم التلقائية التي تستخدم إعدادات التحكم بدرجة الحرارة												Kontrol Otomatis yang Menggunakan Setelan Kontrol Suhu	کنترل‌های خودکاری که از تنظیمات کنترل هوا استفاده می‌کنند	בקרות אוטומטיות המשתמשות בהגדרות בקרת האקלים
MMI-1067	충전할 때마다	After Recharging	Después de recargar	Après la recharge	Após a recarga	每次充电后	充電するごとに	After recharging	After recharging	Nach Ladevorgang	Après la recharge	Dopo ricarica	Después de recargar	Após a recarga		Na het laden	Efter genopladning	Efter laddning	Etter opplading	Po ponownym naładowaniu	Po dobíjení	Po nabití	После зарядки						Lataamisen jälkeen	Újratöltés után	Şarj Ettikten Sonra	بعد إعادة الشحن												Setelah mengisi daya	(To be translated)	(To be translated)
MMI-1068	디스플레이 설정	Display Settings	Ajustes de pantalla	Réglages d'affichage	Configurações de Exibição	画面设置	画面設定	Display settings	Display settings	Bildschirmeinstellungen	Paramètres d'affichage	Impostazioni display	Ajustes de pantalla	Definições de ecrã		Scherminstellingen	Skærmindstillinger	Displayinställningar	Skjerminnstillinger	Ustawienia obrazu	Nastavení displeje	Nastavenia displeja	Настройки дисплея						Näytön asetukset	Képernyőbeállítások	Ekran ayarları	إعدادات الشاشة												Setelan Layar	تنظیمات نمایشگر	הגדרות תצוגה
MMI-1069	전방 교차 안전	Forward Cross-Traffic Safety	Seguridad tráfico cruzado (frente)	Sécurité de circulation transversale frontale	Segurança de tráfego cruzado dianteiro.	前向侧方来车警报	斜め前方安全	Forward cross-traffic safety	Fwd. cross-traffic safety	Vorwärtsfahrt-Querverkehr-Sicherheit	Sécurité de circulation transversale frontale	Funzioni di avanzamento di sicurezza agli incroci	Seguridad de tráfico cruzado frontal	Segurança em tráfego cruzado à frente		Voorwaartse veiligheid kruisend verkeer	Sikkerhed ved tværgående trafik foran	Säkerhet vid korsande trafik framåt	Sikkerhet for kryssende trafikk ved kjøring fremover	Bezpieczeństwo podczas jazdy do przodu	Bezpečnost pro křižující vozidla vpředu	Bezpečnosť pre križujúce vozidlá vpredu	Предупреждение о переднем и поперечном движении						Risteysavustin, etu	Jármű előtti keresztirányú forgalom biztonsága	Ön çapraz trafik güvenliği	الأمان من السير الأمامي المعاكس												Pendeteksi Kendaraan Melintas di Depan	ایمنی هشدار فاصله با خودروی جلو	בטיחות תנועה חוצה קדמית
MMI-1070	예약 환기	Scheduled Ventilation	Ventilación programada	Ventilation programmée	Ventilação Programada	预约通风	換気予約	Scheduled ventilation	Scheduled ventilation	Geplante Belüftung	Ventilation programmée	Ventil.  programmata	Ventilación programada	Ventilação agendada		Geplande ventilatie	Planlagt ventilation	Schemalagd ventilation	Planlagt ventilasjon	Planowana wentylacja	Plánované větrání	Plánované vetranie	Запланир. вентиляция						Ajastettu tuuletus	Ütemezett szellőztetés	Planlı havalandırma	التهوية المُجَدوَلة												Pengatur Waktu Kontrol Ventilasi	 تهویه زمان‌بندی شده	בקרת אוורור מתוזמנת
MMI-1071	에어컨 자동 건조	A/C Automatic Drying	Secado aut. del A/C	Séchage auto du A/C	Secagem autom. do A/C	 空调自动干燥	エアコン自動乾燥	AC auto-drying	AC auto-drying	Klimaanl.-Trocknung	Séchage automatique de la climatisation	Antiappann. autom. A/C	Secado automático A/C	Desembac. auto. A/C		Airco autom. drogen	Klimaanl. auto-tørring	Aut.avimn. m luftkond.	Aut. tørking av klimaanl.	Usuw. wilgoci z klimat.	Automatické vysoušení	Auto-suš. klimatizácie	Автосушка кондицион.						Ilmast. autom. huurunp.	Klímaber. kiszárítása	Klima otom. kurutma	إزالة الضباب التلقائي لمكيّف الهواء												Pengeringan AC Otomatis	خشک کردن خودکار تهویه هوا	ייבוש אוטומטי של מזגן האוויר
MMI-1072	라디오 음질	Radio Noise	Ruido de radio	Réduction du bruit radio	Ruido de rádio	收音机噪声	ラジオの音質	Radio noise control	Radio noise control	Rauschunterdrückung	Contrôle bruit radio	Controllo fruscio radio FM	Control de ruido en radio	Red. de ruído rádio FM		FM ruisonderdrukking	Støjkontrol	Brusreglering FM	Støykontroll radio	Redukcja szumów	Filtrování šumu z rádia	Regulácia šumu	Уровень шума FM-радио						Kohinanvaimennus	Zajelnyomás	Gürültü azaltımı	الحدّ من التشويش												Derau Radio	کنترل نویز رادیو	בקרת רעש רדיו
MMI-1073	기타	Others	Otro	Autres	Outros	其他	その他	Other	Other settings	Andere	Autres paramétres	Altro	Otros	Outros		Andere	Øvrige	Andra	Annet	Inne	Ostatní	Iné	Другие						Muut	Egyéb	Diğer	إعدادات أخرى												Lainnya	عوارض الکترونیکی	אחר
MMI-1074	경로 탐색	Calculate	Calcular	Calculer	Recalcular		ルート探索		Calculate		Itinéraires																					المسارات												N/A		
MMI-1075	카메라 안내	Camera Alert Settings	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	Camera alert settings	<N/A>	Alerte de la caméra	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	تنبيه الكاميرا												N/A	هشدار دوربین	<N/A>
MMI-1076	액티브 사운드 디자인	Active Sound Design	Active Sound Design	Active Sound Design	Active Sound Design	有源声音设计	アクティブサウンドデザイン	Active sound design	Active Sound Design	Motorklang	Bruit du moteur	Rombo motore attivo	Sonido de motor	Som do motor		Active sound design	Motorlyd	Motorljud	Aktiv lyddesign	Dźwięk silnika	Aktivní zvuk motoru	Zvuk motora	Активная схема звука						Moottoriäänet	Motorhang	Motor sesi	تصميم الصوت النشط												Active Sound Design	طرح صدای فعال	הדמיית צליל פעילה (ASD)
MMI-1077	고속도로 차로변경 보조	Highway Lane Change Assist	Asistencia de cambio de carril en autopista	Changement de voie assisté sur autoroute	Assistência de mudança de faixa na rodovia	高速公路变道辅助	高速道路車線変更アシスト	Lane change assist (motorway)	Lane change assist (motorway)	Spurwechselassistent (Autobahn)	Assistance de changement de file sur autoroute	Lane change assist autostrada	Asistencia de cambio de carril en autopista	Assistência à mudança de via na autoestrada		Hulp bij rijbaanwissel op snelweg	Skift vognbane på motorvej	Assistans för körfältsbyte på motorväg	Filskiftassistent for motorvei	Wspomaganie zmiany pasa ruchu	Asistent pro změnu pruhu na dálnici	Pomoc pri zmene jazdného pruhu na diaľnici	Помощь при смене полосы движения на магистралях						Kaistanvaihtoavustin moottoritiekäyttöön	Sávváltássegítő az autópályán	Otoyol şerit değiştirme yardımı	المساعدة في تغيير الحارة المرورية على الطرق السريعة												Highway Lane Change Assist	دستیار تغییر مسیر در بزرگراه	מסייע מעבר נתיב בכביש מהיר
MMI-1078	N 모드 주행 안전 자동 꺼짐	Driving Safety Auto Off in N mode	Desactivar sistema de seguridad al conducir en N mode	Désactiver le système sécurité pendant la conduite en mode N	Desativar sistema de segurança ao conduzir em N mode	N模式驾驶安全自动关闭	Nモード走行安全自動オフ	Driving Safety Off in N mode	Driving Safety Off in N mode	Fahrsicherheit Aus im N Modus	Assistants de conduite désactivés en mode N	Sicurezza di guida OFF in modalità di guida N	En modo N se autodesactiva la seguridad de conducción	Segurança de condução no modo N		Rijveiligheid Uit in N-modus	Køresikkerhed Fra i N-modus	Körsäkerhet Av i N läge	Kjøresikkerhet AV i N-modus	Wyłączone bezpieczeństwo jazdy w trybie N	Po přeřazení do N vypínat asistenci	Bezpečnosť jazdy v režime N vypnutá	Безопасность движения откл. в положении N						Ajoturvallisuusjärjestelmä pois päältä N-tilassa	Vezetéssegítő ki N módban	N modunda sürüş güvenliği kapalıdır	نظام الأمان عند القيادة معطل في وضع N												Driving Safety Auto Off di Mode N	(To be translated)	(To be translated)
MMI-1079	운전자 주의 경고(DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)		Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)						Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)												N/A	Driver Attention Warning (DAW)	Driver Attention Warning (DAW)
MMI-1080	전방 충돌방지 보조(FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)		Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)						Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)												N/A	Forward Collision-Avoidance Assist (FCA)	Forward Collision-Avoidance Assist (FCA)
MMI-1081	차로 이탈방지 보조(LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)		Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)						Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)												N/A	Lane Keeping Assist (LKA)	Lane Keeping Assist (LKA)
MMI-1082	후측방 충돌방지 보조(BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)		Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)						Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)												N/A	Blind-Spot Collision-Avoidance Assist (BCA)	Blind-Spot Collision-Avoidance Assist (BCA)
MMI-1083	안전 하차 보조(SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)		Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)						Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)												N/A	Safe Exit Assist (SEA)	Safe Exit Assist (SEA)
MMI-1084	후측방 모니터(BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)		Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)						Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)												N/A	Blind-Spot View Monitor (BVM)	Blind-Spot View Monitor (BVM)
MMI-1085	스마트 크루즈 컨트롤(SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)		Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)						Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)												N/A	Smart Cruise Control (SCC)	Smart Cruise Control (SCC)
MMI-1086	내비게이션 기반 스마트 크루즈 컨트롤(NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)		Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)						Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)												N/A	Navigation-based Smart Cruise Control (NSCC)	Navigation-based Smart Cruise Control (NSCC)
MMI-1087	차로 유지 보조(LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)		Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)						Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)	Lane Following Assist (LFA)												N/A	Lane Following Assist (LFA)	Lane Following Assist (LFA)
