ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	PER	HEB	Ins	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi
MMI-0825	스마트 슬라이딩 도어	Smart Sliding Door	Puerta corrediza inteligente	Porte coulissante intelligente	Porta deslizante inteligente	智能推拉门	N/A	Smart sliding door	Smart sliding door	Intelligente Schiebetür	Porte coulissante intell.	Porta scorrevole intelligente	Puerta corredera inteligente	Porta deslizante inteligente		Slimme schuifdeur	Smart skydedør	Smart skjutdörr	Smart skyvedør	Inteligentne drzwi przesuwne	Inteligentní posuvné dveře	Inteligentné posuvné dvere	Умная сдвижная дверь						Älykäs liukuovi	Intelligens tolóajtó	Akıllı sürgülü kapı	الباب المنزلق الذكي	درب کشویی هوشمند	דלת הזזה חכמה		स्मार्ट स्लाइडिंग डोर									
MMI-0826	모든 도어 동시 열림	All Power Door Open	(To be translated)	(To be translated)	(To be translated)	(To be translated)		All power door open	All power door open	(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)		(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)						(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)	(To be translated)		(To be translated)									
MMI-0827	파워 테일게이트 자동 닫힘	Tailgate Auto Close	Cerrado automático compuerta trasera	Hayon à fermeture automatique	Fechamento automático porta-malas traseiro	尾门自动关闭	パワーテールゲートを自動で閉じる	Tailgate auto close	Tailgate auto close	Heckklappe autom. schließen	Fermeture auto. hayon électrique	Chiusura automatica del bagagliaio	Autocierre de puerta trasera	Fechar automaticamente a tampa da mala		Achterklep automatisch sluiten	Autom. lukning af bagklap	Automatisk öppning av bakluckan	Automatisk lukking av bakluke	Automatyczne zamykanie klapy bagażnika	Autom. zavírání 5. dveří	Automatické zatváranie zadnej kapoty	Автом. закрытие багажника						Takaluukun automaattinen sulkeminen	Csomagtérajtó autom. zárása	Bagaj kapağını otom. kapama	الإغلاق التلقائي لباب الصندوق	بسته شدن درب صندوق عقب با دور شدن از خودرو	סגירת דלת תא המטען מרחוק	Tutup Liftgate Otomatis	दूर जाने पर टेलगेट का बंद होना									
MMI-0828	평균 연비 표시	Reset Fuel Economy	Reiniciar economía combustible	Réinitialiser l'économie de carburant	Reiniciar economia de combustível	重置平均油耗	平均燃費表示	Reset fuel economy	Reset fuel economy	Ø-Verbrauch zurücksetzen	Réinitialiser consommation moyenne	Ripristina efficienza carburante	Restablecer consumo de combustible	Redefinir o consumo médio		Ø-verbruik resetten	Brændstofforbrug nulstilles	Återställ genomsnittsförbrukning	Tilbakestill forbruk	Zerowanie średniego zużycia paliwa	Reset Ø spotřeby	Resetovať spotrebu paliva	Сброс расхода топлива						Nollaa polttoaineenkulutus	Üzemanyag-fogyasztás visszaállítása	Ø-Yakıt tüketimini sıfırla	إعادة ضبط معدل الاستهلاك على صفر	<N/A>	<N/A>		<N/A>									
MMI-0829	재시동 후 연비	At Vehicle Start	Al dar arranque	À partir du véhicule	Ao dar arranque	启动后重置	エンジン再始動後の燃費	On vehicle start	On vehicle start	Bei Fahrzeugstart	Au démarrage du véhicule	All'avvio del veicolo	Al iniciar el vehículo	Na inicialização do veículo		Bij starten van voertuig	Ved start af køretøj	Vid fordonsstart	Når bilen starter	Przy uruchomieniu pojazdu	S nastartováním	Pri štarte vozidla	При запуске двигателя						Käynnistettäessä auto	Jármű indításakor	Araç çalıştırıldığında	عند تشغيل المحرك	<N/A>	<N/A>		<N/A>									
MMI-0830	주유 후 연비	After Refueling	Al reabastecer	Après le plein	Ao reabastecer	加油后重置	給油後の燃費	After refuelling	After refuelling	Nach Tanken	Après avoir fait le plein	Dopo il rifornimento	Después de repostar	Após o reabastecimento		Na het tanken	Efter genopfyldning	Efter tankning	Etter fylling av drivstoff	Po zatankowaniu	Po natankování	Po doplnení paliva	После заправки						Tankkauksen jälkeen	Tankolás után	Yakıt aldıktan sonra	بعد التزود بالوقود	<N/A>	<N/A>		<N/A>									
MMI-0831	누적 연비	Manually	Manualmente	Manuellement	Manualmente	累计油耗	累積燃費	Manually	Manually	Manuell	Manuellement	Manuale	Manualmente	Manualmente		Manueel	Manuel	Manuellt	Manuelt	Ręcznie	Ručně	Ručne	Вручную						Manuaalisesti	Manuális	Manüel	يدوياً	<N/A>	<N/A>		<N/A>									
MMI-0832	사용자 버튼 ★ (핸들)	Custom Button ★ (Steering Wheel)	Botón personalizado ★ (Volante)	Touche personnalisée ★ (Volant)	Botão personalizado ★ (Volante)	自定义按钮 ★ (驾驶员方向盘)		Custom button ★ (Driver Steering)	Custom button ★ (Steering wheel)	Benutzerdefi-nierte Taste ★ (Lenkrad)	Bouton Personnalisé ★ (Volant)	Tasto personalizzato ★ (Volante)	Botón personalizado ★ (Volante)	Botão personalizado ★ (Volante)		Aangepaste knop ★ (Stuurwiel)	Brugerdef. knap ★ (Rat)	Anpassad knapp ★ (Ratt)	Egendefinert knapp ★ (Ratt)	Przycisk niestand. ★ (Kierownica)	Definovatelné tlačítko ★ (Volant)	Vlastné tlačidlo ★ (Volant)	Настраиваемая кнопка ★ (Руль)						Mukautettava painike ★ (Ohjauspyörä)	Egyéni gomb ★ (Kormány)	Bireysel düğme ★ (Direksiyon)	زر التعديل ★ (عجلة القيادة)	دکمه سفارشی ★ (چرخ فرمان)	לחצן משותף ★ (גלגל ההגה)		कस्टम बटन ★ (स्टीयरिंग व्हील)									
MMI-0833	안전 하차 경고	Safe Exit Warning	Alerta de salida segura (SEW)	Alerte de sortie sécurisée (SEW)	Alerta de saída segura (SEW)	安全下车警告	安全降車警告	SEW (Safe Exit Warning)	SEW (Safe Exit Warning)	SEW (Aussteigewarnung)	SEW (alerte descente du véhicule sécurisée)	SEW (avviso aiuto uscita)	SEW (aviso para salida segura)	SEW (aviso de saída em segurança)		SEW (Safe Exit Warning)	SEW (advarsel udstigning)	SEW (urstigningsvarning)	SEW (gå trygt ut av bilen)	SEW (asystent bezpiecznego wysiadania)	SEW (bezpečný výstup)	SEW (Výstraha pre bezpečné vystupovanie)	SEW (предупреждение о выходе из автомобиля)						SEW (poistumisvaroitus)	SEW (Figyelmeztetés biztonságos kiszállásra)	SEW (Güvenli İniş Uyarısı)	نظام الترجّل الآمن (SEW)	هشدار خروج ایمن	אזהרת יציאה בטוחה		सुरक्षित रूप से बाहर निकालने की चेतावनी									
MMI-0834		Show Guidance at Top of Screen																																											
MMI-0835	고속도로	Camera Alert Distance (Freeway)	Distancia de alerta de cámara (autopistas)	Distance d’alerte de caméra (autoroute)	Distância/alerta de câmera (Autoestradas)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)									
MMI-0836	사용자 버튼 ☆ (내비게이션)	Custom Button ☆ (Navigation)	Botón personalizado ☆ (Navegación)	Touche personnalisée ☆ (Navigation)	Botão personalizado ☆ (Navegação)	自定义按钮 ☆ (导航)		Custom button ☆ (Navigation)	Custom button ☆ (Navigation)	Benutzerdefi-nierte Taste ☆ (Navigation)	Bouton Personnalisé ☆ (Navigation)	Tasto personalizzato ☆ (Navigazione)	Botón personalizado ☆ (Navegación)	Botão personalizado ☆ (Navegação)		Aangepaste knop ☆ (Navigatie)	Brugerdef. knap ☆ (Navigation)	Anpassad knapp ☆ (Navigation)	Egendefinert knapp ☆ (Navigasjon)	Przycisk niestand. ☆ (Nawigacja)	Definovatelné tlačítko ☆ (Navigace)	Vlastné tlačidlo ☆ (Navigácia)	Настраиваемая кнопка ☆ (Навигация)						Mukautettava painike ☆ (Navigointi)	Egyéni gomb ☆ (Navigáció)	Bireysel düğme ☆ (Navigasyon)	زر التعديل ☆ (الملاحة)	دکمه سفارشی ☆ (ناوبری)	לחצן משותף ☆ (ניווט)		कस्टम बटन ☆ (नेविगेशन)									
MMI-0837	내비게이션 안내 일시 정지	Mute Navigation Guidance	Silenciar guía de navegación	Mettre en sourdine guidage Navigation	Silenciar orientação de navegação	导航指引静音	ナビゲーション案内一時停止	Mute navigation guidance	Mute navigation guidance	Navigationsanweisungen stummschalten	Mettre en sourdine guidage Navigation	Disattiva audio sistema di navigazione	Silenciar la guía de navegación	Orientação de navegação silenciada		Navigatiebegeleiding dempen	Sæt navigation på lydløs	Stäng av ljudet för navigationsvägledning	Demp navigasjonsveiledning	Wyciszenie nawigacji	Ztlumit pokyny navigace	Stlmiť navádzanie navigácie	Отключение звука навигации						Vaimenna navigointiopastus	Navigációs útmutatás némítása	Navigasyon rehberliğinin sesini kapat	كتم صوت إرشاد الملاحة	بی‌صدا کردن راهنمای ناوبری	השתק הנחיות ניווט		नेविगेशन मार्गदर्शन म्यूट करें									
MMI-0838	차속 연동 음량 조절	Speed Dependent Volume Control	Volumen dependiente de la velocidad	Commande du volume en fonction de la vitesse	Volume dependente da velocidade	音量随速调节	車速連動音量調節	Speed dependent volume control	Speed dependent volume control	Geschwindigkeitsabhängige Lautstärke	Ajuste le volume en fonction de la vitesse	Controllo volume in base alla velocità	Control volumen según velocidad.	Volume consoante velocidade.		Snelheidsafhankelijke volumeregeling	Hastighedsafhængig lysstyrke	Hastighetsberoende volymkontroll	Hastighetsavhengig volumkontroll	Głośność proporcjonalna do prędkości	Hlasitost v závislosti na rychlosti	Hlasitosť závislá od rýchlosti	Громкость зависит от скорости						Nopeuden mukaan säätyvä äänenvoim.	Sebességfüggő hangerő	Hıza bağlı ses düzeyi kontrolü.	مستوى الصوت حسب السرعة	کنترل صدای وابسته به سرعت	בקרת עוצמה כתלות במהירות		गति के आधार पर वॉल्यूम नियंत्रण									
MMI-0839	정차 중 경로 미리보기	Show Route Overview While Stopping																																											
MMI-0840	2열 시트 등받이 조절	Recline 2nd Row Seat Backs	Reclinaje respaldos de 2.a fila de asientos	Dossiers inclinables de la 2e rangée de sièges	Reclinação dos encostos de assentos na 2ª fileira	使第二排座椅靠背后倾	2列シートの背もたれ調整	2nd row backrest angle	2nd row backrest angle	Rückenlehne 2. Reihe	Inclinaison sièges 2 rang	Schienale sedili 2. fila	Ángulo respaldos 2.a fila	Encosto da 2.ª fila		Rugleuning 2e rij	Ryglæn 2. række	Ryggstödsvinkel 2:a raden	Seteryggvinkel 2. rad	Oparcie w 2. rzędzie	Sklon opěradel v 2. řadě	Uhol operadla v 2. rade	Спинки 2-го ряда сид-ий						2. ist.rivin selkänoj. kulma	2. üléssori háttámla	2. sıra sırtlık açısı	انحدار ظهر المقعد في الصف الثاني	زاویه پشتی صندلی ردیف دوم	גב המושב השני ניתן להטייה		दूसरी पंक्ति के बैकरेस्ट का कोण									
MMI-0841	후석 음성인식	Rear Seat Voice Recognition	Reconocimiento de voz del asiento trasero	Reconnaissance vocale des sièges arrière	Reconhecimento de voz do banco traseiro	<N/A>	後部座席音声認識	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>									
MMI-0842	주변 검색	POI Categories	Categorías de PDI	Catégories PI	Categorias de PdI	周边	N/A	POI categories	POI category	N/A (KO/CH/NA/ME/BR Only)	Type du POI	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)		N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)						N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)	فئة نقاط الإهتمام	N/A (KO/CH/NA/ME/BR Only)	N/A (KO/CH/NA/ME/BR Only)		POI श्रेणी									
MMI-0843	후석 공조 조작	Rear Climate Controls	Controles posteriores de climatización	Contrôles arrière de la climatisation	Climatização traseira	后座空调控制	後部座席空調操作	Rear climate control	Rear climate control	Fond-Klimaanlage	Comm. clim. sièges arri.	Regolaz. clima post.	Control clim. trasera	Climatização atrás		Airco achter	Klimaanlæg bagsæde	Klimatreglage bak	Klima bak	Klimatyzacja tył	Ovl. klim. vzadu	Klimatiz. vzadu	Кондиц. сзади						Takaosan ilm.säätimet	Hátsó klímavezérlés	Arka Klima Kumanda	التحكم بالتكييف في الخلف	کنترل‌های هوای عقب	בקרת אקלים אחורית		पिछले भाग के जलवायु नियंत्रण									
MMI-0844	탐색	Route	Ruta	Itinéraire	Rota				Route		Itinéraire																					المسارات	مسیر												
MMI-0845	실시간 전기차 충전소 검색	Real-time Stations	Buscar emisoras	Recherche de stations	Pesquisar estações	N/A (KO, NA only)	N/A	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)		N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)						N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)	N/A (KO, NA only)		N/A (KO, NA only)									
MMI-0846	전체	Details	Detalles	Détails	Detalhes		全体		Detailed		Tout																					الكل													
MMI-0847	예) 현대기아자동차: ㅎㄷㄱㅇㅈㄷㅊ	e.g. KIA Motors Group: KMG						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)			N/A (Korea Only)											
MMI-0848	예) 현대기아자동차: ㅎㄷㄱㅇㅈㄷㅊ	e.g. Hyundai Motors Group: HMG						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)			N/A (Korea Only)											
MMI-0849	FM 방송 스캔	Scan FM	Buscar FM	Balayer FM	Pesquisar FM	搜索 FM	FMスキャン	Scan FM	Scan FM	UKW scannen	Scanner FM	Scansione FM	Escanee FM	Procurar FM		FM scannen	Søg i FM	Skanna FM	Skann FM	Skanuj FM	Skenování FM	Vyhľadať FM	Сканировать FM						Skannaa FM	FM keresés	FM Taraması	مسح FM	اسکن FM	(To be translated)		FM स्कैन करें									
MMI-0850	AM 방송 스캔	Scan AM	Buscar AM	Balayer AM	Pesquisar AM	搜索 AM	AMスキャン	Scan AM	Scan AM	MW scannen	Scanner AM	Scansione AM	Escanee AM	Procurar AM		AM scannen	Søg i AM	Skanna AM	Skann AM	Skanuj AM	Skenování AM	Vyhľadať AM	Сканировать AM						Skannaa AM	AM keresés	AM Taraması	مسح AM	اسکن AM	(To be translated)		AM स्कैन करें									
MMI-0851	블루투스 오디오	Bluetooth Audio	Audio Bluetooth	Audio Bluetooth	Áudio Bluetooth	蓝牙音频	Bluetoothオーディオ	Bluetooth Audio	Bluetooth Audio	Bluetooth Audio	Bluetooth Audio	Audio Bluetooth	Audio Bluetooth	Áudio por Bluetooth		Bluetooth-audio	Bluetooth-lyd	Bluetooth-ljud	Bluetooth-lyd	Audio Bluetooth	Bluetooth Audio	Zvuk Bluetooth	Bluetooth Аудио						Bluetooth Audio	Bluetooth Audio	Bluetooth ses	سمعيات البلوتوث	صدای بلوتوث	בלוטוס שמע		ब्लूटूथ ऑडियो									
MMI-0852	주행 음향	Active Sound	Sonido activo	Son active	Som ativo	主动式音效	走行音響	Active sound	Active sound	Aktiver sound	Bruit du moteur	Audio attivo	Diseño activo de sonido	Som ativo		Motorgeluid	Active Sound	Aktivt ljud	Aktiv lyd	Symulacja dźwięku silnika	Aktivní zvuk	Aktívny zvuk	Звук активности						Aktiivinen ääni	Aktív hang	Aktif Ses	صوت المحرك النشط	صدای فعال	צליל פעיל		ध्वनि सक्रिय करें									
MMI-0853	음성인식 안내음 설정	Voice Recognition Guidance	Guía	Guidage	Orientação	语音提示		Voice recognition guidance	Voice recognition guidance	Anweisungen	Guidage	Indicazioni	Guía	Orientação		Aanwijzingen	Guidning	Röstvägledning	Veiledning	Naprowadzanie	Pokyny	Navádzanie	Подсказки						Ohjeita	Útmutatások	Rehberlik	الإرشادات	راهنما	הנחיה		मार्गदर्शन									
MMI-0854	포인트 설정하기	포인트 설정하기						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)			N/A (Korea Only)											
MMI-0855		State							State																																				
MMI-0856		Place or Address																																											
MMI-0857	주행 방향 2D	Heading Up	2D, dirección hacia el norte	Direction vers le haut en 2D	Trajeto à frente em 2D	2D 北向上	ヘディングアップ2D	2D heading up	Heading up	<N/A>	Aller vers haut	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	الإتجاه للأعلى	<N/A>	<N/A>		<N/A>									
MMI-0858	지도 고정 2D	North Up	2D, dirección de marcha hacia arriba	Direction Nord vers le haut en 2D	Direção norte em 2D	2D 车头向上	ノースアップ2D	2D north up	North up	<N/A>	Nord en haut	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	الشمال للأعلى	<N/A>	<N/A>		<N/A>									
MMI-0859		NAV Settings																																											
MMI-0860	카테고리순	Category	Categoría	Categorie	Categoria				Category																																				
MMI-0861		History							History																																				
MMI-0862	통합 검색	Places	Buscar	Recherche	Locais	综合搜索	N/A	Places	Places	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)		N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)						N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)	N/A (NA/CH/BRZ/MXC/AU Only)		N/A (NA/CH/BRZ/MXC/AU Only)									
MMI-0863	드라이브/터레인 모드	Drive/Terrain Mode	Modo de conducción/terreno	Drive/Terrain Mode	Modo de condução/terreno	驾驶/地形模式	ドライブ/Terrainモード	Drive/Terrain mode	Drive/Terrain mode	Fahr-/Geländemodus	Mode conduite/terrain	Modalità fuoristrada	Modo Cond./Terreno	Modo Condução/Terreno		Rij-/terrein-modus	Køre-/terræntilstand	Kör-/terrängläge	Kjøre-/terrengmodus	Tryb jazdy/terenowy	Terénní/normální jízdní režim	Režim Jazda/terén	Режим движ-я/бездорожье						Ajo-/maastotila	Vezetési/terep üzemmód	Sürüş/Arazi modu	نمط القيادة والدفع	حالت رانندگی/نوع جاده	מצב נהיגה/שטח		ड्राइव/टेरेन मोड									
MMI-0864	드라이브/터레인 모드 변경 알림	Drive/Terrain Mode Change Alert	Notificación de cambio de modo de conducción/terreno	Alerte de changement de Drive/Terrain Mode	Alerta de mudança de modo de condução/terreno	驾驶/地形模式变更提示	ドライブ/Terrainモード変更通知	Drive/Terrain mode change alert	Drive/Terrain mode change alert	Nachr. Fahr-/Geländemodusänderung	Alerte changement mode conduite/terrain	Avviso modifica modalità guida	Aviso de cambio entre Conduc./Terreno.	Aviso de alteração Condução/Terreno		Bericht bij wijziging rij-/terreinmodus	Besked om skift af køre-/terræntilstand	Avisering vid ändrat kör-/terrängläge	Endringsvarsel for kjøre-/terrengmodus	Ostrzeżenie o zmianie trybu jazdy lub trybu terenowego	Upozornění na přepnutí do terénního režimu	Správa pri zmene režimu Jazda/Terén	Смена поверх. движения/бездорожье						Varoitus ajo-/maastotilan muutoksesta	Vezetési/terep üzemmód váltási figyelmeztetés	Sürüş/Arazi modu değişimi uyarısı	الإشعار بتغيّر نمط القيادة والدفع	هشدار تغییر حالت رانندگی/نوع جاده	התרעת שינוי מצב נהיגה/שטח		ड्राइव/टेरेन मोड परिवर्तन अलर्ट									
MMI-0865	카메라 경고	Camera Alert	Alerta de cámara	Alerte de la caméra	Alerta da câmera				Camera Alert																																				
MMI-0866	마일	mile	milla	miles	milha	mile		mile	mi	mi	mi	mi	milla	mi		mi	mi	mile	mi	mila	mi	mi	миль						mi	mi	mil	mile	mile	mi		mile									
MMI-0867	km	km	km	km	km	km	km	km	km	km	km	km	km	km		km	km	km	km	km	km	km	km						km	km	km	km	km	ק"מ		km									
MMI-0868	내비게이션 시작 시 팝업 표시	Show Previous Destinations after Navigation Start-up	Mostrar destinos anteriores tras inicializar Navegación	Afficher destination précéd. après début navigation.	Exibir destinos anteriores após inicializada a Navegação			Show Previous Destinations after Navigation Start-up	Show Previous Destinations after Navigation Start-up																																				
MMI-0869	교통 이벤트 안내	Traffic Event Alert	Ventana emergente de tráfico		Alerta de eventos de tráfego			Traffic Event Alert	Traffic Event Alert																																				
MMI-0870	내비게이션 음소거 시 카메라 안내	Camera Guidance When Navi Muted	Guía de cámara al silenciar Navegación		Usar a orientação de câmera quando a navegação estiver silenciada			Camera Guidance When Navi Muted	Camera Guidance When Navi Muted																																				
MMI-0871	안내 빈도	Number of Guidance Prompts	N.o de mensajes de guía		N° mensagens de orient.			Number of Guidance Prompts	Number of Guidance Prompts																																				
MMI-0872	고속도로	Freeway	Autopistas	Autoroutes	Rodovia			Freeway	Freeway																																				
MMI-0873	환경존	Environmental Zone	Zona ambiental (rodízio de veículos)		Zona ambiental (rodízio de veículos)			Environmental Zone	Environmental Zone																																				
MMI-0874	교통 정보 표시	Show Traffic Information	Mostrar información de tráfico		Mostrar informações de tráfego			Show Traffic Information	Show Traffic Information																																				
MMI-0875	제한속도 표시	Speed limit	Límites de velocidad	Limites de vitesse	Limite de Velocidade			Speed limit	Speed limit																																				
MMI-0876	단위	Unit	Unidad	Unité	Unidade	单位		Unit	Units	Maßeinheiten	Unités de mesure	Unità di misura	Unidades	Unidades		Eenheden	Enhed	Enheter	Enheter	Jednostka	Jednotky	Jednotky	Единицы измерения						Yksiköt	Mérték-egységek	Birimler	الوحدات	واحدها	יחידות		इकाईयाँ									
MMI-0877		Show a Vehicle Speed			Exibir uma velocidade do veículo			Show a Vehicle Speed	Show a Vehicle Speed																																				
MMI-0878		Scan SXM						Scan SXM	Scan SXM																																				
MMI-0879	종료	종료	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N_/_A	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)											
MMI-0880	현위치	Current Point					現在地																																						
MMI-0881	장소	장소	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	場所	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)											
MMI-0882	아니오	아니오	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)						N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)	N/A (Korea Only)		N/A (Korea Only)											
MMI-0883	USB에서 등록 위치 가져오기	Import Address Book from USB	Importar libreta de dir. desde disp. USB	Importer Carnet d'adresses de l'appareil USB	Importar agenda de endereços do USB	从 USB 中导入标注点	USBからメモリ地点をインポート	Import address book from USB	Import address book from USB	Adressbuch von USB importieren	Importer le répertoire depuis l'USB	Importa rubrica da USB	Importar agenda del USB	Importar livro de endereços de USB		Adresboek importeren via USB	Importer adressebog fra USB	Importera adressbok från USB	Importer adressebok fra USB	Importuj książkę adresową z USB	Importovat adresář ze zařízení USB	Importovať adresár z USB	Импорт адресной книги с USB						Tuo osoitekirja USB:stä	Címlista importálása az USB-ről	Adres defterini USB'den aktar	استيراد دليل العناوين من USB	<N/A>	ייבוא פנקס הכתובות מה- USB		<N/A>									
MMI-0884	위치 공유	Share Location	Compartir ubicación	Partager un emplacement	N/A(KO/NA/CH Only)	共享位置	位置情報の共有	Share location	Share location	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)		N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)						N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)	N/A(KO/NA/CH Only)		स्थान साझा करें									
